Timestamp,Are you voting on Sri Lanka Presidential Election 2019?,What is the province that your polling station is located?,"According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Rohan Pallewatta]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Anura Kumara Dissanayaka]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Gotabaya Rajapakasa]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Sajith Premadasa]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Gotabaya Rajapaksa]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Mahesh Senanayaka]",Please mention your age range.,Please mention your gender,What is your highest educational qualification?,What is your monthly income?,Your Ethnicity / Race,For whom will you vote?,Who will win the Presidential Election 2019?,Comments
30/10/2019 03:12:07,No,Western,Poor,Fair,Excellent,Poor,Fair,Fair,Fair,Poor,Very good,Poor,Very good,Poor,Excellent,Poor,Poor,Fair,Poor,Excellent,Poor,Poor,Poor,Poor,Satisfactory,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Fair,23-29,Female,Bachelors Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 04:20:59,Yes,South,Poor,Fair,Poor,Fair,Fair,Fair,Poor,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Fair,Fair,Fair,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,Fair,Fair,Poor,Satisfactory,Fair,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,48-53,Male,O/L,40000 - 80000,Sinhala,Sajith Premadasa,Sajith Premadasa,
30/10/2019 04:43:31,Yes,Central,Satisfactory,Poor,Excellent,Poor,Poor,Poor,Very good,Poor,Excellent,Poor,Satisfactory,Poor,Excellent,Poor,Poor,Fair,Poor,Excellent,Satisfactory,Satisfactory,Very good,Poor,Excellent,Poor,Poor,Satisfactory,Poor,Excellent,Fair,Poor,Fair,Poor,Excellent,Poor,Poor,23-29,Male,Higher Diploma,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,gota will be a good president.
30/10/2019 05:00:15,Yes,Sabaragamuwa,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,30-35,Male,Postgraduate Diploma,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 06:20:56,Yes,Western,Fair,Fair,Poor,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Fair,Satisfactory,Fair,Poor,Fair,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Satisfactory,Poor,Satisfactory,Poor,72-77,Male,Higher Diploma,40000 - 80000,Sinhala,Sajith Premadasa,Sajith Premadasa,
30/10/2019 06:26:01,Yes,Central,Satisfactory,Very good,Poor,Poor,Fair,Very good,Very good,Poor,Poor,Fair,Very good,Poor,Satisfactory,Fair,Poor,Fair,Fair,Fair,Fair,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Fair,Very good,Fair,Fair,Fair,Fair,Fair,Very good,Fair,Very good,Fair,30-35,Male,Bachelors Degree,200000 - 240000,Sinhala,Anura Kumara Dissanayaka,Gotabaya Rajapakasa,
30/10/2019 06:56:55,Yes,Western,Satisfactory,Satisfactory,Poor,Fair,Excellent,Satisfactory,Satisfactory,Fair,Poor,Excellent,Excellent,Fair,Fair,Fair,Fair,Excellent,Satisfactory,Fair,Satisfactory,Fair,Fair,Excellent,Fair,Fair,Excellent,Satisfactory,Fair,Fair,Satisfactory,Excellent,Satisfactory,Satisfactory,Fair,Fair,Excellent,23-29,Male,Diploma,40000 - 80000,Sinhala,Mahesh Senanayaka,Sajith Premadasa,
30/10/2019 07:01:21,Yes,North Western,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,18-23,Male,Bachelors Degree,"No income, dependent",Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 07:04:53,Yes,Eastern,Poor,Fair,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Satisfactory,Fair,Poor,Poor,Fair,Satisfactory,Fair,Poor,Fair,Satisfactory,Fair,Satisfactory,Poor,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Satisfactory,Fair,Poor,Poor,Satisfactory,Fair,Satisfactory,Poor,30-35,Male,Higher Diploma,40000 - 80000,Tamil,Sajith Premadasa,Sajith Premadasa,
30/10/2019 07:42:58,Yes,Sabaragamuwa,Satisfactory,Fair,Poor,Very good,Excellent,Satisfactory,Satisfactory,Satisfactory,Poor,Excellent,Excellent,Satisfactory,Fair,Satisfactory,Satisfactory,Very good,Satisfactory,Fair,Satisfactory,Very good,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,Very good,Satisfactory,Poor,Very good,Satisfactory,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,23-29,Male,Higher Diploma,80000 - 120000,Sinhala,Sajith Premadasa,Sajith Premadasa,
30/10/2019 09:47:05,Maybe,South,Fair,Very good,Poor,Poor,Satisfactory,Satisfactory,Poor,Poor,Poor,Poor,Fair,Poor,Fair,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Fair,Very good,Fair,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Very good,Poor,Poor,Fair,42-47,Male,Masters Degree,320000 - above,Sinhala,Anura Kumara Dissanayaka,Gotabaya Rajapakasa,
30/10/2019 09:57:21,Yes,South,Very good,Excellent,Satisfactory,Fair,Very good,Excellent,Excellent,Poor,Satisfactory,Satisfactory,Excellent,Fair,Very good,Very good,Very good,Fair,Poor,Very good,Excellent,Very good,Satisfactory,Excellent,Poor,Fair,Satisfactory,Excellent,Satisfactory,Very good,Fair,Satisfactory,Satisfactory,Excellent,Poor,Satisfactory,Very good,23-29,Male,Bachelors Degree,120000 - 160000,Sinhala,Anura Kumara Dissanayaka,Gotabaya Rajapakasa,
30/10/2019 10:45:00,Maybe,Western,Fair,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Fair,Fair,Fair,Fair,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Satisfactory,Satisfactory,Fair,Satisfactory,23-29,Male,Bachelors Degree,160000 - 200000,Sinhala,Anura Kumara Dissanayaka,Gotabaya Rajapakasa,
30/10/2019 11:21:35,Yes,Western,Fair,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Fair,Satisfactory,Fair,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Fair,Satisfactory,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Fair,Fair,Poor,Poor,Satisfactory,Fair,Fair,Satisfactory,Poor,Satisfactory,Fair,54-59,Male,Masters Degree,80000 - 120000,Sinhala,Sajith Premadasa,Sajith Premadasa,
30/10/2019 11:47:20,Yes,Western,Very good,Excellent,Satisfactory,Very good,Satisfactory,Excellent,Excellent,Very good,Satisfactory,Fair,Excellent,Very good,Excellent,Satisfactory,Fair,Fair,Very good,Satisfactory,Excellent,Satisfactory,Satisfactory,Excellent,Fair,Excellent,Fair,Excellent,Fair,Poor,Excellent,Satisfactory,Fair,Fair,Poor,Excellent,Fair,23-29,Male,Masters Degree,320000 - above,Sinhala,Sajith Premadasa,Sajith Premadasa,
30/10/2019 11:49:19,Yes,Uva,Poor,Satisfactory,Satisfactory,Fair,Poor,Poor,Fair,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Fair,Poor,Poor,Poor,Fair,Satisfactory,Poor,Poor,Fair,Fair,Fair,Poor,Poor,Fair,Satisfactory,Satisfactory,Poor,Poor,Satisfactory,Fair,Fair,Poor,23-29,Male,Bachelors Degree,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 12:14:57,Yes,Western,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,23-29,Male,Bachelors Degree,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 12:17:02,Yes,Western,Fair,Very good,Fair,Poor,Very good,Excellent,Satisfactory,Poor,Satisfactory,Satisfactory,Very good,Fair,Very good,Satisfactory,Satisfactory,Very good,Satisfactory,Very good,Excellent,Satisfactory,Satisfactory,Excellent,Satisfactory,Very good,Very good,Fair,Excellent,Poor,Poor,Satisfactory,Fair,Excellent,Poor,Fair,Very good,18-23,Male,Higher Diploma,"No income, dependent",Sinhala,Mahesh Senanayaka,Sajith Premadasa,
30/10/2019 12:20:42,Yes,Uva,Excellent,Very good,Very good,Satisfactory,Poor,Satisfactory,Excellent,Fair,Very good,Poor,Satisfactory,Fair,Excellent,Fair,Fair,Fair,Satisfactory,Very good,Very good,Very good,Satisfactory,Very good,Very good,Satisfactory,Fair,Excellent,Satisfactory,Excellent,Satisfactory,Poor,Satisfactory,Satisfactory,Very good,Satisfactory,Satisfactory,30-35,Male,Masters Degree,200000 - 240000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 12:21:36,Yes,Central,Satisfactory,Very good,Excellent,Poor,Poor,Fair,Poor,Poor,Excellent,Poor,Fair,Poor,Excellent,Satisfactory,Poor,Poor,Poor,Excellent,Satisfactory,Fair,Fair,Fair,Excellent,Poor,Poor,Poor,Poor,Excellent,Satisfactory,Poor,Poor,Satisfactory,Very good,Poor,Poor,18-23,Male,Bachelors Degree,"No income, dependent",Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 12:38:29,Yes,South,Fair,Very good,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Very good,Poor,Excellent,Satisfactory,Fair,Satisfactory,Poor,Excellent,Very good,Fair,Fair,Very good,Very good,Poor,Satisfactory,Very good,Fair,Very good,Poor,Fair,Fair,Fair,Satisfactory,Satisfactory,Fair,36-41,Male,Bachelors Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 13:05:36,Yes,South,Satisfactory,Satisfactory,Very good,Poor,Satisfactory,Fair,Satisfactory,Fair,Very good,Fair,Satisfactory,Poor,Excellent,Fair,Fair,Satisfactory,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very good,Fair,Satisfactory,Satisfactory,Fair,Very good,Fair,Fair,Fair,Fair,Satisfactory,Fair,Fair,23-29,Female,Bachelors Degree,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 13:36:03,Yes,Western,Fair,Fair,Satisfactory,Poor,Satisfactory,Fair,Fair,Poor,Satisfactory,Satisfactory,Satisfactory,Fair,Satisfactory,Fair,Poor,Fair,Poor,Fair,Satisfactory,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,23-29,Male,Masters Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 14:43:19,Yes,Western,Fair,Fair,Fair,Poor,Fair,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Fair,Fair,Fair,Poor,Satisfactory,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,Satisfactory,Fair,Satisfactory,Fair,Fair,Fair,Fair,Fair,Poor,Satisfactory,18-23,Male,Bachelors Degree,"No income, dependent",Sinhala,Mahesh Senanayaka,Gotabaya Rajapakasa,
30/10/2019 14:51:14,Yes,North Western,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,36-41,Male,Bachelors Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 15:27:14,Yes,North,Poor,Fair,Poor,Fair,Poor,Fair,Poor,Fair,Poor,Poor,Fair,Fair,Fair,Fair,Poor,Poor,Fair,Poor,Fair,Poor,Poor,Fair,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Poor,23-29,Male,Bachelors Degree,10000 - 40000,Tamil,Sajith Premadasa,Sajith Premadasa,
30/10/2019 15:55:47,Yes,South,Excellent,Satisfactory,Very good,Very good,Poor,Satisfactory,Excellent,Very good,Very good,Satisfactory,Very good,Excellent,Very good,Fair,Poor,Satisfactory,Satisfactory,Satisfactory,Excellent,Very good,Satisfactory,Very good,Satisfactory,Satisfactory,Poor,Excellent,Fair,Very good,Excellent,Poor,Very good,Very good,Satisfactory,Excellent,Very good,23-29,Male,Masters Degree,80000 - 120000,Sinhala,Rohan Pallewatta,Gotabaya Rajapakasa,
30/10/2019 16:31:09,Yes,Western,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Fair,Poor,Poor,Fair,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Fair,Poor,Poor,Poor,Fair,Fair,Poor,Poor,Poor,Satisfactory,Fair,Poor,Fair,Fair,Fair,Satisfactory,Fair,36-41,Male,A/L,40000 - 80000,Muslim,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 16:51:35,Yes,Western,Excellent,Excellent,Very good,Satisfactory,Very good,Very good,Excellent,Very good,Very good,Very good,Excellent,Very good,Excellent,Excellent,Satisfactory,Excellent,Excellent,Excellent,Excellent,Excellent,Very good,Very good,Very good,Very good,Very good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,23-29,Male,Higher Diploma,10000 - 40000,Sinhala,Anura Kumara Dissanayaka,Gotabaya Rajapakasa,
30/10/2019 18:07:09,Yes,Western,Poor,Poor,Satisfactory,Poor,Fair,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Fair,Poor,Poor,Poor,Satisfactory,Poor,Poor,Fair,Poor,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Poor,Poor,18-23,Male,A/L,"No income, dependent",Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 18:08:33,Yes,Western,Fair,Fair,Satisfactory,Poor,Poor,Fair,Fair,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Fair,Fair,Fair,Poor,Satisfactory,Fair,Fair,Fair,Poor,Satisfactory,Poor,Fair,Fair,Poor,Satisfactory,Poor,Poor,Fair,Fair,Satisfactory,Poor,Fair,23-29,Male,Bachelors Degree,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 18:09:47,Yes,Sabaragamuwa,Poor,Satisfactory,Excellent,Poor,Poor,Satisfactory,Poor,Poor,Excellent,Poor,Fair,Poor,Excellent,Fair,Poor,Poor,Poor,Excellent,Very good,Poor,Poor,Satisfactory,Excellent,Poor,Poor,Poor,Poor,Very good,Poor,Poor,Poor,Satisfactory,Excellent,Poor,Poor,18-23,Male,Undergraduate,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 18:22:42,Yes,Eastern,Poor,Excellent,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Fair,Fair,Poor,Satisfactory,Poor,Satisfactory,Fair,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Fair,Poor,Poor,Fair,Poor,Excellent,Poor,Satisfactory,Very good,72-77,Male,Diploma,10000 - 40000,Muslim,Anura Kumara Dissanayaka,Anura Kumara Dissanayaka,
