02/11/2019 19:49:34,Yes,Western,Poor,Satisfactory,Fair,Satisfactory,Poor,Fair,Poor,Satisfactory,Fair,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Fair,Fair,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,Satisfactory,Fair,Satisfactory,Fair,Fair,Satisfactory,Poor,Fair,Satisfactory,Fair,Satisfactory,Satisfactory,30-35,Male,Professionaly qualified,80000 - 120000,Muslim,Sajith Premadasa,Sajith Premadasa,SP Need more camping in upcoming days to keep his winning status 
02/11/2019 20:01:42,Yes,Western,Fair,Very good,Poor,Poor,Satisfactory,Very good,Fair,Poor,Fair,Fair,Satisfactory,Fair,Fair,Satisfactory,Poor,Satisfactory,Poor,Fair,Very good,Fair,Fair,Satisfactory,Satisfactory,Very good,Satisfactory,Fair,Satisfactory,Poor,Satisfactory,Fair,Poor,Excellent,Poor,Poor,Very good,23-29,Male,Bachelors Degree,"No income, dependent",Sinhala,Anura Kumara Dissanayaka,Gotabaya Rajapakasa,
02/11/2019 20:08:06,Yes,Western,Satisfactory,Fair,Satisfactory,Poor,Fair,Poor,Fair,Fair,Satisfactory,Poor,Satisfactory,Poor,Satisfactory,Poor,Poor,Fair,Fair,Satisfactory,Satisfactory,Satisfactory,Fair,Fair,Fair,Fair,Fair,Satisfactory,Fair,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,Fair,23-29,Male,O/L,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 20:43:28,Yes,Western,Poor,Satisfactory,Fair,Poor,Poor,Fair,Poor,Poor,Fair,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Fair,Satisfactory,Poor,Poor,Satisfactory,Satisfactory,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Fair,Fair,Poor,42-47,Male,Masters Degree,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 20:45:13,Yes,Western,Poor,Poor,Excellent,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Very good,Fair,Poor,Fair,Excellent,Fair,Poor,Poor,Fair,Very good,Fair,Fair,Fair,Fair,Satisfactory,Fair,Fair,Satisfactory,Fair,Excellent,Very good,Fair,Satisfactory,Satisfactory,Excellent,Very good,Satisfactory,54-59,Male,Diploma,160000 - 200000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 22:12:28,Yes,Western,Poor,Fair,Excellent,Poor,Fair,Fair,Poor,Poor,Excellent,Fair,Very good,Poor,Excellent,Satisfactory,Poor,Fair,Poor,Excellent,Satisfactory,Poor,Satisfactory,Excellent,Excellent,Satisfactory,Satisfactory,Poor,Very good,Excellent,Poor,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,36-41,Male,Masters Degree,320000 - above,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 22:31:21,Yes,Central,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,48-53,Male,Diploma,120000 - 160000,Muslim,Sajith Premadasa,Sajith Premadasa,
02/11/2019 22:34:07,Yes,Western,Poor,Satisfactory,Fair,Fair,Poor,Satisfactory,Fair,Fair,Fair,Poor,Fair,Fair,Satisfactory,Fair,Poor,Poor,Satisfactory,Fair,Satisfactory,Poor,Poor,Satisfactory,Fair,Satisfactory,Fair,Poor,Fair,Fair,Satisfactory,Poor,Poor,Satisfactory,Fair,Satisfactory,Poor,30-35,Male,Diploma,40000 - 80000,Tamil,Sajith Premadasa,Sajith Premadasa,
02/11/2019 23:28:21,Yes,South,Poor,Satisfactory,Satisfactory,Fair,Poor,Fair,Fair,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Fair,Poor,Poor,Fair,Satisfactory,Satisfactory,Fair,Fair,Fair,Fair,Satisfactory,Poor,Poor,Fair,Fair,Fair,Poor,Poor,Fair,Satisfactory,Satisfactory,Poor,30-35,Female,Bachelors Degree,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 23:29:18,Yes,Western,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Fair,Excellent,Poor,Poor,23-29,Male,Masters Degree,240000 - 280000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
02/11/2019 23:31:05,Yes,Western,Fair,Satisfactory,Satisfactory,Poor,Fair,Satisfactory,Fair,Poor,Satisfactory,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,Fair,Fair,Poor,Satisfactory,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Poor,Fair,Poor,Satisfactory,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,30-35,Male,Bachelors Degree,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 00:44:30,Yes,Central,Fair,Fair,Poor,Fair,Fair,Poor,Fair,Fair,Poor,Fair,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Poor,Fair,Fair,Fair,Fair,Poor,Fair,Poor,Fair,Poor,Poor,Fair,Fair,Fair,Poor,Poor,Fair,Fair,66-71,Male,Diploma,"No income, dependent",Sinhala,Sajith Premadasa,Sajith Premadasa,
03/11/2019 05:17:23,Yes,Central,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,54-59,Male,Masters Degree,160000 - 200000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 06:50:42,Yes,Western,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,23-29,Male,Masters Degree,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 07:21:40,Yes,South,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,30-35,Male,A/L,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 08:00:52,Yes,North Western,Satisfactory,Satisfactory,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Fair,Satisfactory,Fair,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Satisfactory,Fair,Fair,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,30-35,Male,Masters Degree,280000 - 320000,Sinhala,Mahesh Senanayaka,Gotabaya Rajapakasa,
03/11/2019 08:24:52,Yes,Sabaragamuwa,Excellent,Very good,Excellent,Poor,Satisfactory,Satisfactory,Very good,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Excellent,Very good,Very good,Satisfactory,Satisfactory,Very good,Very good,Very good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Fair,Satisfactory,Fair,Satisfactory,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Fair,23-29,Male,Bachelors Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 08:31:56,Yes,Eastern,Poor,Fair,Poor,Satisfactory,Fair,Fair,Poor,Satisfactory,Poor,Fair,Fair,Satisfactory,Poor,Fair,Poor,Fair,Satisfactory,Poor,Fair,Poor,Poor,Fair,Poor,Satisfactory,Fair,Poor,Fair,Poor,Satisfactory,Fair,Poor,Fair,Fair,Satisfactory,Fair,18-23,Male,Bachelors Degree,10000 - 40000,Muslim,Sajith Premadasa,Sajith Premadasa,
03/11/2019 10:16:38,Yes,Central,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Very good,Poor,Poor,Very good,Excellent,Poor,Poor,Poor,Satisfactory,Excellent,Poor,Poor,Poor,Satisfactory,Excellent,Poor,Poor,60-65,Male,A/L,40000 - 80000,Yakkah ,Gotabaya Rajapakasa,Gotabaya Rajapakasa,"We need a peaceful, secure,developed country for my children and grandchildren "
03/11/2019 12:05:44,Yes,North Central,Fair,Satisfactory,Fair,Satisfactory,Fair,Very good,Very good,Very good,Satisfactory,Satisfactory,Very good,Very good,Very good,Very good,Very good,Satisfactory,Excellent,Satisfactory,Very good,Satisfactory,Satisfactory,Excellent,Satisfactory,Excellent,Very good,Excellent,Satisfactory,Fair,Very good,Satisfactory,Satisfactory,Fair,Fair,Very good,Satisfactory,30-35,Male,Bachelors Degree,120000 - 160000,Sinhala,Sajith Premadasa,Sajith Premadasa,
03/11/2019 12:11:55,Yes,Western,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Very good,Poor,Excellent,Satisfactory,Fair,Very good,Poor,Excellent,Very good,Excellent,Satisfactory,Very good,Very good,Very good,Satisfactory,Excellent,Fair,Very good,Poor,Satisfactory,Fair,Satisfactory,Excellent,Poor,Very good,23-29,Male,Bachelors Degree,40000 - 80000,Chetty,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 12:26:57,Yes,Western,Very good,Excellent,Poor,Fair,Fair,Excellent,Satisfactory,Poor,Poor,Fair,Satisfactory,Fair,Poor,Excellent,Satisfactory,Satisfactory,Fair,Poor,Excellent,Very good,Satisfactory,Excellent,Poor,Fair,Satisfactory,Satisfactory,Excellent,Poor,Poor,Fair,Fair,Excellent,Poor,Fair,Fair,23-29,Male,A/L,"No income, dependent",Tamil,Anura Kumara Dissanayaka,Sajith Premadasa,
03/11/2019 13:46:07,Yes,Sabaragamuwa,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,30-35,Male,Diploma,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,Good
03/11/2019 13:47:20,Yes,South,Poor,Very good,Fair,Satisfactory,Very good,Fair,Poor,Satisfactory,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Fair,Poor,Fair,Satisfactory,Fair,Excellent,Poor,Poor,Fair,Poor,Excellent,Poor,Fair,Satisfactory,Satisfactory,Satisfactory,Fair,Fair,Very good,Poor,Very good,Very good,30-35,Male,Bachelors Degree,80000 - 120000,Sinhala,Sajith Premadasa,Sajith Premadasa,
03/11/2019 13:57:19,Yes,Western,Fair,Fair,Satisfactory,Poor,Fair,Poor,Satisfactory,Poor,Satisfactory,Fair,Satisfactory,Poor,Satisfactory,Poor,Fair,Poor,Poor,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Poor,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Fair,Poor,23-29,Male,Higher Diploma,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 14:21:36,Yes,Western,Very good,Very good,Very good,Excellent,Very good,Very good,Very good,Very good,Satisfactory,Satisfactory,Very good,Excellent,Excellent,Very good,Satisfactory,Satisfactory,Excellent,Very good,Satisfactory,Satisfactory,Very good,Satisfactory,Satisfactory,Very good,Satisfactory,Satisfactory,Very good,Excellent,Very good,Very good,Very good,Very good,Very good,Excellent,Excellent,30-35,Male,Bachelors Degree,10000 - 40000,Tamil,Sajith Premadasa,Gotabaya Rajapakasa,
03/11/2019 14:45:05,Yes,Uva,Poor,Fair,Satisfactory,Poor,Fair,Poor,Poor,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Poor,Poor,Satisfactory,Poor,Satisfactory,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Satisfactory,Poor,Poor,Fair,Satisfactory,Fair,Fair,23-29,Male,Bachelors Degree,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 14:45:11,Yes,Uva,Poor,Fair,Satisfactory,Poor,Fair,Poor,Poor,Poor,Satisfactory,Poor,Fair,Poor,Satisfactory,Poor,Poor,Satisfactory,Poor,Satisfactory,Satisfactory,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Satisfactory,Poor,Poor,Fair,Satisfactory,Fair,Fair,23-29,Male,Bachelors Degree,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 15:19:46,Yes,North Western,Satisfactory,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Fair,Fair,Very good,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Fair,Satisfactory,Poor,Poor,Poor,Very good,Satisfactory,Poor,Poor,30-35,Male,Postgraduate Diploma,40000 - 80000,Burgher,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 16:01:08,Yes,Western,Fair,Satisfactory,Very good,Poor,Very good,Satisfactory,Poor,Poor,Very good,Satisfactory,Satisfactory,Fair,Excellent,Fair,Poor,Satisfactory,Satisfactory,Very good,Very good,Poor,Very good,Very good,Excellent,Satisfactory,Very good,Satisfactory,Fair,Very good,Very good,Satisfactory,Very good,Satisfactory,Very good,Very good,Very good,23-29,Male,Bachelors Degree,160000 - 200000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 16:14:51,Yes,Western,Fair,Very good,Excellent,Poor,Satisfactory,Very good,Fair,Poor,Excellent,Fair,Poor,Satisfactory,Excellent,Satisfactory,Poor,Poor,Poor,Very good,Fair,Poor,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Poor,Satisfactory,Satisfactory,Fair,Poor,Poor,Satisfactory,Satisfactory,Fair,Poor,23-29,Male,Bachelors Degree,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 16:42:33,Yes,Western,Poor,Satisfactory,Fair,Fair,Fair,Satisfactory,Poor,Fair,Fair,Fair,Satisfactory,Satisfactory,Fair,Fair,Poor,Fair,Satisfactory,Fair,Satisfactory,Fair,Poor,Satisfactory,Fair,Satisfactory,Fair,Poor,Fair,Fair,Satisfactory,Fair,Fair,Fair,Fair,Fair,Fair,30-35,Male,Bachelors Degree,80000 - 120000,Sinhala,Sajith Premadasa,Sajith Premadasa,
03/11/2019 17:06:59,Yes,Western,Satisfactory,Very good,Poor,Poor,Satisfactory,Very good,Very good,Poor,Fair,Poor,Fair,Fair,Fair,Fair,Fair,Satisfactory,Poor,Poor,Very good,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Fair,Poor,Poor,Poor,Poor,Satisfactory,Poor,Fair,Fair,36-41,Female,Bachelors Degree,80000 - 120000,Sinhala,Anura Kumara Dissanayaka,Sajith Premadasa,
03/11/2019 17:40:35,Yes,Western,Satisfactory,Excellent,Very good,Excellent,Satisfactory,Excellent,Excellent,Excellent,Excellent,Very good,Excellent,Excellent,Excellent,Very good,Very good,Satisfactory,Excellent,Very good,Excellent,Very good,Satisfactory,Excellent,Excellent,Excellent,Very good,Very good,Very good,Very good,Excellent,Very good,Satisfactory,Excellent,Excellent,Excellent,Satisfactory,23-29,Male,A/L,40000 - 80000,Sinhala,Sajith Premadasa,Sajith Premadasa,
03/11/2019 17:40:51,Yes,Western,Excellent,Excellent,Satisfactory,Poor,Excellent,Excellent,Excellent,Satisfactory,Satisfactory,Excellent,Excellent,Satisfactory,Excellent,Satisfactory,Satisfactory,Very good,Satisfactory,Excellent,Excellent,Excellent,Excellent,Excellent,Satisfactory,Satisfactory,Excellent,Excellent,Satisfactory,Poor,Poor,Satisfactory,Excellent,Very good,Poor,Satisfactory,Excellent,23-29,Male,Masters Degree,40000 - 80000,Sinhala,Anura Kumara Dissanayaka,Sajith Premadasa,
03/11/2019 18:34:10,Yes,Western,Satisfactory,Fair,Excellent,Fair,Fair,Fair,Fair,Satisfactory,Excellent,Fair,Fair,Fair,Excellent,Satisfactory,Fair,Satisfactory,Very good,Excellent,Fair,Satisfactory,Satisfactory,Fair,Very good,Satisfactory,Fair,Fair,Fair,Very good,Satisfactory,Fair,Poor,Poor,Excellent,Poor,Poor,66-71,Male,Bachelors Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 19:24:20,Yes,South,Very good,Satisfactory,Excellent,Poor,Fair,Satisfactory,Satisfactory,Poor,Very good,Fair,Satisfactory,Poor,Very good,Fair,Fair,Very good,Fair,Excellent,Excellent,Very good,Fair,Fair,Excellent,Satisfactory,Fair,Satisfactory,Satisfactory,Very good,Satisfactory,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Fair,48-53,Male,A/L,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 19:53:36,Yes,Western,Fair,Fair,Fair,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Satisfactory,Fair,Poor,Fair,Poor,Satisfactory,Satisfactory,Fair,Fair,Fair,Fair,Fair,Poor,Poor,Fair,Fair,Poor,Poor,Poor,Poor,Fair,Fair,Poor,23-29,Male,Higher Diploma,200000 - 240000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 19:56:11,Yes,Sabaragamuwa,Excellent,Excellent,Excellent,Excellent,Excellent,Very good,Excellent,Excellent,Very good,Very good,Excellent,Excellent,Excellent,Very good,Satisfactory,Excellent,Very good,Very good,Excellent,Excellent,Very good,Very good,Satisfactory,Excellent,Very good,Excellent,Very good,Very good,Very good,Excellent,Very good,Very good,Poor,Excellent,Very good,23-29,Male,Higher Diploma,10000 - 40000,Sinhala,Mahesh Senanayaka,Sajith Premadasa,
03/11/2019 20:33:20,Yes,Western,Fair,Poor,Poor,Poor,Satisfactory,Fair,Fair,Poor,Poor,Fair,Satisfactory,Fair,Poor,Poor,Poor,Satisfactory,Poor,Poor,Fair,Poor,Fair,Fair,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Satisfactory,36-41,Male,Postgraduate Diploma,320000 - above,Sinhala,Mahesh Senanayaka,Mahesh Senanayaka,
03/11/2019 20:42:28,Yes,Western,Fair,Fair,Excellent,Poor,Poor,Fair,Fair,Poor,Excellent,Poor,Fair,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Fair,Poor,Fair,Poor,Very good,Fair,Poor,Fair,Poor,Very good,Poor,Poor,Fair,Fair,Excellent,Poor,Poor,36-41,Male,Masters Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 20:53:48,No,Central,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Fair,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,23-29,Male,Diploma,320000 - above,Sinhala,Battaramulle Seelarathana bro,****shiya Danthanarayana,i much love to fill google forms.  any other???
03/11/2019 21:08:24,Yes,Western,Satisfactory,Satisfactory,Excellent,Poor,Satisfactory,Fair,Fair,Poor,Satisfactory,Poor,Satisfactory,Poor,Excellent,Fair,Fair,Poor,Poor,Very good,Very good,Fair,Fair,Satisfactory,Very good,Fair,Poor,Fair,Fair,Very good,Poor,Poor,Satisfactory,Fair,Very good,Poor,Satisfactory,48-53,Male,Bachelors Degree,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 21:09:58,Yes,Central,Satisfactory,Satisfactory,Very good,Fair,Fair,Very good,Satisfactory,Satisfactory,Very good,Fair,Satisfactory,Satisfactory,Excellent,Satisfactory,Fair,Fair,Satisfactory,Very good,Excellent,Fair,Very good,Very good,Very good,Very good,Very good,Very good,Satisfactory,Very good,Very good,Fair,Fair,Very good,Very good,Very good,Satisfactory,30-35,Male,Higher Diploma,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 21:11:43,Yes,Western,Fair,Satisfactory,Satisfactory,Fair,Fair,Fair,Fair,Fair,Satisfactory,Fair,Satisfactory,Fair,Satisfactory,Fair,Fair,Fair,Fair,Satisfactory,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Fair,Fair,Fair,Satisfactory,Satisfactory,Fair,Fair,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,23-29,Male,Diploma,40000 - 80000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 21:25:58,Yes,Central,Satisfactory,Very good,Very good,Satisfactory,Satisfactory,Very good,Satisfactory,Fair,Very good,Satisfactory,Very good,Satisfactory,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very good,Excellent,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very good,Fair,Fair,Very good,Very good,Very good,Very good,30-35,Male,Higher Diploma,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
03/11/2019 22:20:34,Yes,North Western,Fair,Satisfactory,Fair,Poor,Poor,Satisfactory,Fair,Poor,Fair,Poor,Poor,Poor,Fair,Satisfactory,Poor,Poor,Poor,Fair,Satisfactory,Poor,Poor,Satisfactory,Fair,Fair,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Fair,Poor,Poor,18-23,Male,A/L,10000 - 40000,Sinhala,Anura Kumara Dissanayaka,Anura Kumara Dissanayaka,
04/11/2019 05:53:41,Yes,Western,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,23-29,Male,Postgraduate Diploma,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,